Date,Open,High,Low,Close,Adj Close,Volume
01/04/2021,42744.38672,43209.375,42456.69531,42717.40625,42717.40625,44577555047
02/04/2021,42719.625,43551.60156,42536.23438,42937.23438,42937.23438,42462592343
03/04/2021,42946.70313,43462.12891,41649.91797,41649.91797,41649.91797,43123077715
04/04/2021,41650.60156,42596.99609,41335.23828,42484.43359,42484.43359,36693731816
05/04/2021,42486.10938,43068.42969,41735.28516,42449.08984,42449.08984,43633907914
06/04/2021,42531.07031,42773.48828,41633.21875,42070.80469,42070.80469,47757377972
07/04/2021,42066.57813,42488.75,40500.69141,40787.98828,40787.98828,55048675969
08/04/2021,40825.08594,42474.21875,40664.82813,42467.12891,42467.12891,38629838639
09/04/2021,42469.02734,42948.54688,42177.83203,42488.21484,42488.21484,34033761599
10/04/2021,42494.61719,44699.73438,42337.72656,43624.00781,43624.00781,42489681564
11/04/2021,43662.67188,44351.63281,43250.36328,43921.44922,43921.44922,33762925225
12/04/2021,43900.27734,44602.99219,43317.42969,43547.57031,43547.57031,37683810163
13/04/2021,43545.07422,46382.13672,43541.50391,46153.99609,46153.99609,50863624713
14/04/2021,46168.74609,47126.48047,44665.94531,45808.17188,45808.17188,56218374286
15/04/2021,45783.13281,46296.49609,45169.92969,45932.60547,45932.60547,44220758067
16/04/2021,45892.33594,46179.625,43681.44922,44514.04688,44514.04688,60939629749
17/04/2021,44483.05469,45236.55469,43634.19531,43867.30469,43867.30469,47810584665
18/04/2021,43880.36328,44137.39844,38187.77734,40683.82031,40683.82031,70538515622
19/04/2021,40666.01953,41443.48828,38893.76953,39827.08203,39827.08203,46703085992
20/04/2021,39796.72266,40948.48438,38191.625,40517.08594,40517.08594,48679108116
21/04/2021,40515.71875,40711.98047,38546.63672,38694.86719,38694.86719,39427420960
22/04/2021,38659.70703,39957.08984,36556.92188,37403.72656,37403.72656,54049939392
23/04/2021,37387.49609,37649.40234,34365.67578,36814.40625,36814.40625,62447201527
24/04/2021,36850.125,36867.66016,35165.86719,36063.35156,36063.35156,35316609982
25/04/2021,36064.76563,36404.6875,33985.625,35344.02344,35344.02344,33261691943
26/04/2021,35397.0625,39038.82813,35216.85938,38879.51172,38879.51172,41947081746
27/04/2021,38885.66406,39864.13672,38401.8125,39583.33984,39583.33984,35566326493
28/04/2021,39585.87109,40314.85156,38843.92188,39287.93359,39287.93359,34397690585
29/04/2021,39311.85547,39490.83203,37589.125,38385.625,38385.625,33034240420
30/04/2021,38395.33984,41906.91797,38087.17578,41797.96094,41797.96094,37922708484
01/05/2021,41772.25781,42303.26953,41291.18359,41852.64844,41852.64844,31002564447
02/05/2021,41851.0625,41906.59766,40632.3125,40981.47656,40981.47656,27627346613
03/05/2021,40973.65625,42579.67188,40963.30078,41141.25391,41141.25391,37194623535
04/05/2021,41151.24219,41151.24219,38296.65625,38403.98828,38403.98828,49371525675
05/05/2021,38345.39453,41636.41797,38130.19922,41285.50781,41285.50781,49781667847
06/05/2021,41297.94531,41949.21484,39866.875,40586.37109,40586.37109,50033196883
07/05/2021,40598.92188,41887.91797,39771.26172,41003.86328,41003.86328,48923209576
08/05/2021,41001.26172,42520.28906,40740.23828,42047.75781,42047.75781,46752231068
09/05/2021,42100.39453,42338.85938,40417.90234,41474.51172,41474.51172,46940392533
10/05/2021,41487.72656,42457.59766,38260.47656,39529.29688,39529.29688,50792816541
11/05/2021,39520.41016,40215.60156,38653.75,40114.46094,40114.46094,43371337504
12/05/2021,40121.50391,41050.61719,34952.02734,34952.02734,34952.02734,53487328457
13/05/2021,35367.96094,36525.74609,33425.95313,35394.64844,35394.64844,68859077287
14/05/2021,35371.00391,36505.99219,34790.17578,35373.52734,35373.52734,39527082381
15/05/2021,35355.77344,35911.87891,33092.57422,33160.6875,33160.6875,41954944232
16/05/2021,33129.80469,35259.71484,31171.81836,32945.24219,32945.24219,45420829071
17/05/2021,32916.76172,33074.28516,29860.13672,30774.96875,30774.96875,52946460778
18/05/2021,30740.01172,32307.9082,29858.51758,30244.34766,30244.34766,39603214780
19/05/2021,30269.42188,30690.51953,21668.86914,26229.47656,26229.47656,89569949161
20/05/2021,26053.13281,30012.96484,24829.12109,28750.52539,28750.52539,62235945046
21/05/2021,28619.54883,29730.0332,23753.75586,26359.9043,26359.9043,57978575042
22/05/2021,26406.78125,27441.47852,25005.25977,26526.72461,26526.72461,40547887849
23/05/2021,26523.0625,27058.56836,22068.01758,24590.24414,24590.24414,55494569398
24/05/2021,24540.58203,28139.70117,24415.52148,27343.99414,27343.99414,47586447625
25/05/2021,27407.43359,28086.99609,25827.8418,27153.79102,27153.79102,39746827333
26/05/2021,27147.00195,28844.26758,26785.36133,27838.56445,27838.56445,36377364725
27/05/2021,27854.64063,28510.75586,26399.75,27064.46875,27064.46875,30425966561
28/05/2021,27113.83789,27369.06055,24510.42383,25157.78125,25157.78125,38902169677
29/05/2021,25148.30273,26240.90039,23745.69531,24395.57031,24395.57031,31876420955
30/05/2021,24389.46484,25653.26172,23623.63867,25160.89453,25160.89453,22317417541
31/05/2021,25147.11719,26343.32617,24125.57227,26240.62891,26240.62891,27419358738
01/06/2021,26213.17188,26635.38086,25270.58594,25915.80859,25915.80859,24470778112
02/06/2021,25926.4043,26970.18359,25400.48438,26514.88867,26514.88867,23336424362
03/06/2021,26531.98633,27811.6582,26282.92383,27791.56445,27791.56445,25134934510
04/06/2021,27815.4668,27815.4668,25265.03711,26054.0918,26054.0918,29540279268
05/06/2021,26044.0293,26776.73047,24645.97266,25106.08203,25106.08203,25393860925
06/06/2021,25096.6543,25730.67188,24931.88281,25317.83398,25317.83398,20412079477
07/06/2021,25298.69336,26009.35156,23617.84766,23674.99805,23674.99805,23761928912
08/06/2021,23695.32422,23983.99414,21996.16797,23656.94922,23656.94922,35268523660
09/06/2021,23617.61523,26601.19531,22936.79492,26464.62109,26464.62109,38247909055
10/06/2021,26496.08008,27197.97461,25285.09961,25901.39063,25901.39063,30752042145
11/06/2021,25897.46289,26566.17969,25437.50586,26464.22852,26464.22852,27432037664
